X,Y,Index_,Event_Unique_Id,Occurrence_year,Division,Homicide_Type,Occurrence_Date,Hood_ID,Neighbourhood,Long,Lat,ObjectId
-8837967.62712508,5416827.9003015,1,111878,2004,D53,Other,2004/01/03 05:00:00+00,97,Yonge-St.Clair (97),-79.392814,43.68502592,1
-8820271.73317669,5431728.61038425,2,125755,2004,D42,Shooting,2004/01/08 05:00:00+00,137,Woburn (137),-79.23384908,43.78174501,2
-8817266.71027691,5436217.84136552,3,136086,2004,D42,Shooting,2004/01/08 05:00:00+00,132,Malvern (132),-79.2068545,43.81085356,3
-8842592.57570766,5414587.73289346,4,148623,2004,D13,Shooting,2004/01/25 05:00:00+00,93,Dovercourt-Wallace Emerson-Junction (93),-79.43436062,43.6704717,4
-8816929.18846763,5438174.95030008,5,148619,2004,D42,Shooting,2004/01/25 05:00:00+00,131,Rouge (131),-79.20382249,43.82353918,5
-8850856.28125875,5422354.44979487,6,152518,2004,D31,Stabbing,2004/02/20 05:00:00+00,26,Downsview-Roding-CFB (26),-79.50859475,43.72091645,6
-8850894.72210531,5422577.59518703,7,172092,2004,D31,Shooting,2004/02/21 05:00:00+00,26,Downsview-Roding-CFB (26),-79.50894007,43.72236515,7
-8860233.07930383,5425774.24656711,8,133635,2004,D23,Other,2004/02/21 05:00:00+00,2,Mount Olive-Silverstone-Jamestown (2),-79.59282796,43.74311454,8
-8819571.39554343,5437052.51646365,10,218803,2004,D42,Shooting,2004/03/03 05:00:00+00,132,Malvern (132),-79.22755784,43.8162641,9
-8826153.85840979,5419146.1225149,11,200779,2004,D41,Shooting,2004/03/04 05:00:00+00,120,Clairlea-Birchmount (120),-79.28668911,43.70008354,10
-8823902.31818137,5435781.61134913,12,218585,2004,D42,Shooting,2004/03/03 05:00:00+00,129,Agincourt North (129),-79.26646318,43.80802563,11
-8821136.82588271,5429599.30382262,13,229133,2004,D41,Stabbing,2004/03/13 05:00:00+00,137,Woburn (137),-79.24162034,43.76793345,12
-8841823.06859561,5420632.99677128,14,219659,2004,D53,Other,2004/03/18 05:00:00+00,32,Englemount-Lawrence (32),-79.42744802,43.70973929,13
-8819318.23721025,5428348.88939739,15,219687,2004,D42,Other,2004/03/24 05:00:00+00,137,Woburn (137),-79.22528368,43.75982126,14
